venue,city,latitude,longitude,formatted_address,place_id,geocode_status
"MA Chidambaram Stadium, Chepauk",Chennai,13.0626985,80.27931009999999,"1, Wallahjah Rd, Chepauk, Triplicane, Chennai, Tamil Nadu 600005, India",ChIJjXSf26BoUjoR5WxYJP06W0Q,ok
"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,13.0626985,80.27931009999999,"1, Wallahjah Rd, Chepauk, Triplicane, Chennai, Tamil Nadu 600005, India",ChIJjXSf26BoUjoR5WxYJP06W0Q,ok
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",New Chandigarh,30.7787815,76.7238509,"DLF Mullanpur, Mullanpur Garibdass, New Chandigarh, Punjab 140901, India",ChIJh18DX_LxDzkRHeoZSgVahh0,ok
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mohali,30.7787815,76.7238509,"DLF Mullanpur, Mullanpur Garibdass, New Chandigarh, Punjab 140901, India",ChIJh18DX_LxDzkRHeoZSgVahh0,ok
"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",New Chandigarh,30.7787815,76.7238509,"DLF Mullanpur, Mullanpur Garibdass, New Chandigarh, Punjab 140901, India",ChIJh18DX_LxDzkRHeoZSgVahh0,ok
Maharashtra Cricket Association Stadium,Pune,18.6744633,73.7065161,"MPF4+QJJ, Mumbai - Pune Hwy, Gahunje, Maharashtra 412101, India",ChIJU6xq9YuwwjsR3fSJWA_Lk-0,ok
"Maharashtra Cricket Association Stadium, Pune",Pune,18.6744633,73.7065161,"MPF4+QJJ, Mumbai - Pune Hwy, Gahunje, Maharashtra 412101, India",ChIJU6xq9YuwwjsR3fSJWA_Lk-0,ok
"Narendra Modi Stadium, Ahmedabad",Ahmedabad,23.0918239,72.5973886,"Stadium Road, Motera, Sabarmati, Ahmedabad, Gujarat 380005, India",ChIJ437DfcGDXjkRLZMfOmpvl6s,ok
Nehru Stadium,Kochi,9.997290699999999,76.3008729,"JLN Stadium, Jawaharlal Nehru International Stadium, Kaloor, Kochi, Kerala 682017, India",ChIJ45g6bRYNCDsRzcrl6tj0ssg,ok
New Wanderers Stadium,Johannesburg,-26.1311637,28.0574107,"Corlett Dr, Illovo, Sandton, 2196, South Africa",ChIJX5s0e-cMlR4RgpsRR-WVkTI,ok
Newlands,Cape Town,-33.9735227,18.468956,"146 Campground Rd, Newlands, Cape Town, 7780, South Africa",ChIJgY6ehSxdzB0RvDUTz1lf3F4,ok
OUTsurance Oval,Bloemfontein,-29.1129237,26.214937,"Bloemfontein, South Africa",ChIJi78Hn3vFjx4RSbcRslv1Fh8,ok
Punjab Cricket Association IS Bindra Stadium,Chandigarh,30.6908912,76.73753049999999,"Bindra Stadium I.S, Sukhna Path, Sector 63, Sahibzada Ajit Singh Nagar, Punjab 160062, India",ChIJsYbzEB_sDzkRptJ2AvsJ5tk,ok
"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,30.6908912,76.73753049999999,"Bindra Stadium I.S, Sukhna Path, Sector 63, Sahibzada Ajit Singh Nagar, Punjab 160062, India",ChIJsYbzEB_sDzkRptJ2AvsJ5tk,ok
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chandigarh,30.6908912,76.73753049999999,"Bindra Stadium I.S, Sukhna Path, Sector 63, Sahibzada Ajit Singh Nagar, Punjab 160062, India",ChIJsYbzEB_sDzkRptJ2AvsJ5tk,ok
"Punjab Cricket Association Stadium, Mohali",Chandigarh,30.6908912,76.73753049999999,"Bindra Stadium I.S, Sukhna Path, Sector 63, Sahibzada Ajit Singh Nagar, Punjab 160062, India",ChIJsYbzEB_sDzkRptJ2AvsJ5tk,ok
Rajiv Gandhi International Stadium,Hyderabad,17.4065262,78.5504704,"RGI Stadium Rd, Uppal, Hyderabad, Telangana 500039, India",ChIJG1MF6jiZyzsRu9VjjIV6i8w,ok
