venue,city,query_used,attempt,latitude,longitude,photon_name,photon_city,photon_country,photon_state,osm_value
"Narendra Modi Stadium, Ahmedabad",Ahmedabad,"Narendra Modi Stadium, Ahmedabad",1,23.0917717,72.5973345,Narendra Modi Stadium,Ahmedabad,India,Gujarat,stadium
Nehru Stadium,Kochi,Nehru Stadium,1,28.5833771,77.2335404,Jawaharlal Nehru Stadium,Delhi,India,,stadium
New Wanderers Stadium,Johannesburg,New Wanderers Stadium,1,-26.1313769,28.0570755,DP World Wanderers Stadium,Rosebank,South Africa,Gauteng,stadium
Newlands,Cape Town,Newlands,1,-33.9742832,18.4572951,Newlands,Cape Town,South Africa,Western Cape,suburb
OUTsurance Oval,Bloemfontein,,FAILED,,,,,,,
Punjab Cricket Association IS Bindra Stadium,Chandigarh,,FAILED,,,,,,,
"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,32.5008383,74.5539018,Jinnah Cricket Stadium,Sialkot,Pakistan,Punjab,stadium
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chandigarh,,FAILED,,,,,,,
"Punjab Cricket Association Stadium, Mohali",Chandigarh,"Punjab Cricket Association Stadium, Mohali",1,32.5008383,74.5539018,Jinnah Cricket Stadium,Sialkot,Pakistan,Punjab,stadium
Rajiv Gandhi International Stadium,Hyderabad,Rajiv Gandhi International Stadium,1,17.4059481,78.5505638,Rajiv Gandhi International Cricket Stadium,,India,Telangana,stadium
"Rajiv Gandhi International Stadium, Uppal",Hyderabad,"Rajiv Gandhi International Stadium, Uppal",1,17.4059481,78.5505638,Rajiv Gandhi International Cricket Stadium,,India,Telangana,stadium
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,17.4059481,78.5505638,Rajiv Gandhi International Cricket Stadium,,India,Telangana,stadium
"Sardar Patel Stadium, Motera",Ahmedabad,"Sardar Patel Stadium, Motera",1,23.0925447,72.5978635,Sardar Patel Sports Complex,,India,Gujarat,sports_centre
Saurashtra Cricket Association Stadium,Rajkot,Saurashtra Cricket Association Stadium,1,18.6737116,73.706379,Maharashtra Cricket Association Stadium,Gahunje,India,Maharashtra,stadium
Sawai Mansingh Stadium,Jaipur,Sawai Mansingh Stadium,1,26.8939911,75.8032269,Sawai Mansingh Stadium,Jaipur Municipal Corporation,India,Rajasthan,stadium
